Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
08-10-22_11:49:46, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.18,dp,0.84, -0.05, 0.84, -0.05, 0.83, -0.06
08-10-22_12:04:22, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.24,dp,0.79, -0.14, 0.81, -0.14, 0.81, -0.12
08-10-22_12:18:40, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.0,dp,0.82, 0.11, 0.85, 0.12, 0.85, 0.14
08-10-22_12:33:02, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.06,dp,0.86, 0.05, 0.86, 0.05, 0.85, 0.07
08-10-22_12:47:09, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.12,dp,0.83, 0.01, 0.83, 0.01, 0.83, 0.01
08-10-22_13:01:09, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.18,dp,0.81, -0.06, 0.81, -0.06, 0.81, -0.06
08-10-22_13:15:23, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.24,dp,0.78, -0.14, 0.78, -0.14, 0.77, -0.13
08-10-22_13:29:11, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.86, 0.10, 0.87, 0.10, 0.88, 0.13
08-10-22_13:43:10, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.86, 0.08, 0.86, 0.08, 0.88, 0.08
08-10-22_13:57:04, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.87, 0.02, 0.87, 0.02, 0.86, 0.02
08-10-22_14:11:03, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.86, -0.02, 0.86, -0.02, 0.85, -0.05
08-10-22_14:24:57, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.80, -0.13, 0.84, -0.07, 0.84, -0.11
08-10-22_14:38:51, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.90, 0.15, 0.90, 0.15, 0.89, 0.14
08-10-22_14:52:56, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.88, 0.09, 0.88, 0.09, 0.88, 0.08
08-10-22_15:06:56, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.88, 0.00, 0.88, 0.00, 0.88, 0.02
08-10-22_15:21:06, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.18,dp,0.85, -0.04, 0.85, -0.04, 0.85, -0.04
08-10-22_15:35:16, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.24,dp,0.84, -0.09, 0.84, -0.09, 0.83, -0.11
08-10-22_15:49:35, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.88, 0.10, 0.88, 0.10, 0.88, 0.14
08-10-22_16:03:50, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.06,dp,0.89, 0.09, 0.89, 0.09, 0.88, 0.08
08-10-22_16:18:25, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.12,dp,0.86, 0.02, 0.86, 0.02, 0.86, 0.01
08-10-22_16:33:01, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.18,dp,0.85, -0.07, 0.85, -0.07, 0.84, -0.05
08-10-22_16:47:33, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.24,dp,0.83, -0.12, 0.83, -0.12, 0.82, -0.12
08-10-22_17:02:06, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.0,dp,0.88, 0.14, 0.88, 0.14, 0.87, 0.13
08-10-22_17:16:38, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.06,dp,0.86, 0.09, 0.86, 0.09, 0.86, 0.08
08-10-22_17:31:04, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.12,dp,0.85, 0.02, 0.85, 0.02, 0.85, 0.01
08-10-22_17:45:28, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.18,dp,0.83, -0.06, 0.83, -0.06, 0.83, -0.06
08-10-22_17:59:55, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.24,dp,0.81, -0.12, 0.81, -0.12, 0.80, -0.12
08-10-22_18:14:23, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.0,dp,0.83, 0.12, 0.84, 0.13, 0.83, 0.13
08-10-22_18:28:50, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.06,dp,0.85, 0.07, 0.85, 0.07, 0.84, 0.07
08-10-22_18:43:09, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.12,dp,0.82, -0.04, 0.82, -0.04, 0.82, 0.00
08-10-22_18:57:33, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.18,dp,0.82, -0.08, 0.82, -0.08, 0.81, -0.06
08-10-22_19:11:58, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.95, logistic,0.24,dp,0.79, -0.16, 0.79, -0.16, 0.79, -0.12
10-20-22_19:23:01, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.87, 0.11, 0.87, 0.11, 0.88, 0.13
10-20-22_19:31:13, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.86, 0.09, 0.86, 0.09, 0.88, 0.08
10-20-22_19:39:30, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.052,dp,0.65, 0.07, 0.88, 0.07, 0.88, 0.09
10-20-22_19:47:39, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.058,dp,0.85, 0.11, 0.85, 0.08, 0.87, 0.08
10-20-22_19:55:57, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.80, -0.10, 0.80, -0.10, 0.82, -0.10
