Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
10-09-22_12:11:55, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.4, hinge,0.06,dp,0.91, 0.06, 0.91, 0.06, 0.91, 0.06
10-09-22_12:34:53, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.4, hinge,0.12,dp,0.88, -0.05, 0.88, -0.05, 0.88, -0.04
10-09-22_12:57:39, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.4, hinge,0.18,dp,0.81, -0.21, 0.83, -0.16, 0.82, -0.18
10-09-22_13:20:26, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.4, hinge,0.24,dp,0.73, -0.38, 0.74, -0.34, 0.74, -0.36
10-09-22_13:42:56, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.8, hinge,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.91, 0.14
10-09-22_14:05:37, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.8, hinge,0.06,dp,0.90, 0.06, 0.90, 0.06, 0.89, 0.05
10-09-22_14:28:19, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.8, hinge,0.12,dp,0.86, -0.06, 0.86, -0.06, 0.87, -0.05
10-09-22_14:51:00, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.8, hinge,0.18,dp,0.81, -0.19, 0.81, -0.19, 0.81, -0.19
10-09-22_15:13:34, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.8, hinge,0.24,dp,0.74, -0.38, 0.74, -0.36, 0.74, -0.36
10-09-22_15:36:14, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.95, hinge,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.90, 0.14
